,title,lyrics,text_author,composer,artist,nr
235,Słynny niebieski prochowiec,czwarty rano kończyć grudzień lista pisać czuć new york zimny porządek muzyka clinton street grać okrągły podobny budować własny domowy głębić pustynia żyć chcieć musieć zachować wspomnienie jane kosmyk włos wiedzieć dawać myśleć zwiać niełatić zwiać ostatni wyglądać starzec podniszczyć słynny niebieski prochowiec pociąg wychodzić dworzec swej lili marlen pojechać dom dać kobieta żyć lidwa strzępić żona ciągło widzieć tą róża ząb choć wiedzieć tani greps spodobać jane jane pozdrawiać cóż powiedzieć brat kata wiedzieć pisać brakować przebaczać siebie żeś droga wniść bybyć wpaść jane pomyślić wróg sypiać twardy żona nudzić dziękować wypędzić oko żalić myśleć starać jane kosmyk włos wiedzieć dawać myśleć zwiać poważanie leonard coować,"Leonard Cohen, tłum. Maciej Zembaty",,Leonard Cohen,875
236,Czasem nagle smutniejesz,nagle smutnieć dzień ubywać wiedzieć pomóc prosić wybaczyć łza oko krótki chwila gościć wiedzieć mówić wiedzieć puszczać latawiec śmiech śmieszny dzień przybywać powietrze stawać lekki lekki stawać wędrówka plecak wciąż coraz kki dom przysiąść tęcza niebo niebieski gałęzie,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo,239
237,Czasem nagle smutniejesz,nagle smutnieć dzień ubywać wiedzieć pomóc prosić wybaczyć łza oko krótki chwila gościć wiedzieć mówić wiedzieć puszczać latawiec śmiech śmieszny dzień przybywać powietrze stawać lekki lekki stawać wędrówka plecak wciąż coraz kki dom przysiąść tęcza niebo niebieski gałęzie,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1109
238,Gdziekolwiek,stań miejsce książka miejsce stół kasztan kwitnąć owoc otwierać drzewo ulica nagle zawołać drzwi zapukać pamięć przynieść kwiat godzina kolor stań stań miejsce książka miejsce stół kasztan kwitnąć owoc otwierać wciąż początek wszędziejski most prawdziwy powietrze ode stań stań miejsce książka miejsce stół kasztan kwitnąć owoc otwierać drzewo ulica nagle zawołać drzwi zapukać pamięć przynieść kwiat godzina kolor stań,,,,391
239,Gdziekolwiek,stań miejsce książka miejsce stół kasztan kwitnąć owoc otwierać drzewo ulica nagle zawołać nagle zapukać pamięć przynieść kwiat godzina kolor stań stań miejsce książka miejsce stół kasztan kwitnąć owoc otwierać kwiat drzewo wiatr powiewać gorący powietrze ode stań,Jan Zych,Marek Grechuta,Marek Grechuta,1328
240,Niepokój,most osłona noc przerzucić siebie porywać świta trwać potopić jutrzenka oba brzeg bezradnia biegać ręka siebie wyciągać oko rozwarty szeroki rozstanie oddalać serce podążać oglądać raz raz siebie oglądać siebie niebo przebiegać dreszcz niepokój rozstępować świat połów coraz mały stawać włos chmura kasztanowy oko rozwarty szeroki rozstanie oddalać serce podążać oglądać raz raz siebie oglądać siebie ręka wyrwany stacja zbliżać robotnik dzień powszedni twarz przeraźliwa trzeźwy oko rozwarty szeroki rozstanie oddalać serce podążać oglądać raz raz siebie oglądać siebie,Józef Baran,Krzysztof Myszkowski,Stare Dobre Małżeństwo,440
241,Niepokój,most osłona noc przerzucić siebie porywać świta trwać potopić jutrzenka oba brzeg bezradnia biegać ręka siebie wyciągać oko rozwarty szeroki rozstanie oddalać serce podążać oglądać raz raz siebie oglądać siebie niebo przebiegać dreszcz niepokój rozstępować świat połów coraz mały stawać włos chmura kasztanowy ręka wyrwany stacja zbliżać robotnik dzień powszedni twarz przeraźliwa trzeźwy,Józef Baran,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1075
242,Łemkowyna,dusza kamienny serce kamień oko zmrozić granita szczyt zimny echo ulica odbijać kroki kolano chłodzić posadzka kościół cóż powiedzieć panienka przeczysty jarzębina ikona leśny przydrożny leszczyna cóż nauczyć drewniany dach płomyk lampka drżeć bukowy zapach dłoń stalowy nerwy stały zimny porcelana błyszczeć widelec krzyż ściana wykroić blacha żelazny gwóźdź przybity mur cóż powiedzieć panienka przeczysty jarzębina ikona leśny przydrożny leszczyna cóż nauczyć drewniany dach płomyk lampka drżeć bukowy zapach zrozumieć ciepły dłoń drewniany łyżka nasiąknąć zupa twarz przytulać belka ukłon próg wracać siebie żelazny koleja cóż powiedzieć panienka przeczysty jarzębina ikona leśny przydrożny leszczyna cóż nauczyć drewniany dach płomyk lampka drżeć bukowy zapach,Krzysztof Jurkiewicz,Krzysztof Jurkiewicz,Słodki Całus od Buby,306
243,Łemkowyna,dusza kamienny serce kamień oko zmrozić granita szczyt zimny echo ulica odbijać kroki kolano chłodzić posadzka kościół cóż powiedzieć panienka przeczysty jarzębina ikona leśny przydrożny leszczyna cóż nauczyć drewniany dach płomyk lampka drżeć bukowy zapach dłoń stalowy nerwy stały zimny porcelana błyszczeć widelec krzyż ściana wykroić blacha żelazny gwóźdź przybity mur zrozumieć ciepły dłoń drewniany łyżka nasiąknąć zupa twarz przytulać belka ukłon próg wracać siebie żelazny koleja,,Krzysztof Jurkiewicz,Słodki Całus od Buby,1298
244,Lato z ptakami odchodzi,lato ptak odchodzić wiatr skręcać liść warkotać dywan okrywać szlaka szkarłat wieszać zbocze przyoblekać myślić kolor liść złoty buk purpura palić ogień letni wspomnienie iść wymachiwać kostur iść góry cieszyć żyć oddać dłoń halny włos szelest liść wsłuchać pragnąć odlatywać ptak głos słony pot czuja usta dzień spracowany uciekać anioł zapalać gwiazda oświetlać droga człowiek niedługi rozpalić ogień rozległy górski polano niedługi szałas zielony wśród dostojny buk powstanie iść góry cieszyć żyć oddać dłoń halny włos szelest liść wsłuchać pragnąć odlatywać ptak głos,,Adam Cichocki,,286
245,Lato z ptakami odchodzi,lato ptak odchodzić wiatr skręcać liść warkotać dywan pokrywać szlaka szkarłat wieszać zbocze przyoblekać myślić kolor złoty liść buk purpura palić ogień letni wspomnienie iść wymachiwać kostur iść góry cieszyć żyć oddać dłoń halny włos szelest liść wsłuchać pragnąć odlatywać ptak głos słony pot czuja usta dzień spracowany uciekać anioł zapalać gwiazda oświetlać droga człowiek niedługi rozpalić ogień rozległy górski polano niedługi szałas zielony wśród dostojny buk powstanie iść góry cieszyć żyć oddać dłoń halny włos szelest liść wsłuchać pragnąć odlatywać ptak głos,Jacek Rutkowski,Adam Cichocki,Ryszard Krasowski,518
246,Niedokończona jesienna fuga,domowy buczyna spiąć noc przyjąć próg zapalić gwiazda noc głębić zakwitnąć górski głóg domowy buczyna spiąć noc przyjąć próg zapalić gwiazda noc głębić zakwitnąć głóg beskidy kołysać szumieć chwiać drżenie niebo horyzont zmienić drogi umrzeć słowo da koniec drogi swej noc zmierzać płony drzewo nocny chłód gość musza dom wejść złodziej beskidy wół znak dawać wiedzieć oto drogi niedługi trwać świta złocić wyświechtany jesienny wiatr biedny fuga,Wojciech Bellon,Sylwester Szweda,Wolna Grupa Bukowina,339
247,Niedokończona jesienna fuga,domowy buczyna spiąć noc przyjąć próg zapalić gwiazda noc głębić zakwitnąć polny głóg beskidy kołysać szumieć chwiać drżenie niebo horyzont zmienić drogi umrzeć słowo da koniec drogi swej noc zmierzać płony gwiazda nocny chłód gość musza dom wejść złodziej beskidy wół znak dawać pójść oto drogi niedługi trwać świta złoto wyświechtany jesienny złoto biedny fuga,Wojciech Belon,Wojciech Jarociński,Wolna Grupa Bukowina,1432
248,Nowa,nagi tużeński spojrzeć tamten noc przykryć choć prześcieradło chybać zmienić dawny późny zupełnia spokojny pójść zupełnia spokojny pójść zostawać raj jesień próbować wracać wiosna drzewo liść dawać cień anioł sweter ulotny kręcić świat koniec lato szukać tamten miejsce znudzić wychodzić dziura buta koniec znaleźć brudny ulica oblazły ściana wspomnienie ludzie obcy zupełnia spokojny pójść zupełnia spokojny pójść zostawać raj jesień próbować wracać wiosna drzewo liść dawać cień anioł sweter ulotny kręcić świat koniec lato jesień porać ruszyć pudełko pełny czarny biały zdjęcie myślić słowo twarz ludziezki świat goń szczerza mówić wiedzieć zupełnia spokojny pójść zupełnia spokojny pójść zostawać raj jesień próbować wracać wiosna drzewo liść dawać cień anioł sweter ulotny kręcić świat koniec lato zupełnia spokojny pójść,Krzysztof Jurkiewicz,,Słodki Całus od Buby,407
249,Nowa,nagi tużeński spojrzeć tamten noc przykryć choć prześcieradło chybać zmienić dawny późny zupełnia spokojny pójść zostawać raj jesień próbować wracać wiosna drzewo liść dawać cień anioł sweter ulotny kręcić świat koniec lato szukać tamten miejsce znużyć koniec znaleźć brudny ulica oblazły ściana wspomnienie ludzie obcy zupełnia spokojny pójść jesień porać ruszyć pudełko pełny czarny biały zdjęcie myślić słowo twarz ludziezki świat goń szczerza mówić wiedzieć zupełnia spokojny pójść,Krzysztof Jurkiewicz,Krzysztof Jurkiewicz,Słodki Całus od Buby,1273
250,Bawitko,waga zabrać temida bawić sprawiedliwość szala zły kłaść drugi dobry litość cieszyć równowaga gardło zdzierać wiwat cieszyć równowaga wskazówka puszczać rok oj nieładć człowiek nieładć oj nieładć człowiek brzydki żyto bawić zmieniać bawitka księgi bawić mądrość zabawa uparty księga budować nauka dom księgi karty raz huczeć brawo raz działo gubić errata mądry starczyć osądzić rok oj nieładć człowiek nieładć oj nieładć człowiek brzydki żyto bawić zmieniać bawitka zabawa popularny choć nienowy potrzebny ludziezie słowo słowo słowo słowo bawić miłość słowo składać kwiat pot przyprószyć liść jesień odgrzebywać rok oj nieładć człowiek nieładć oj nieładć człowiek brzydki żyto bawić zmieniać bawitka,Andrzej Poniedzielski,Andrzej Poniedzielski,Andrzej Poniedzielski,177
251,Bawitko,waga zabrać temida bawić sprawiedliwość szala zły kłaść drugi dobry litość drugi dobry litość cieszyć równowaga gardło zdzierać wiwat cieszyć równowaga wskazówka puszczać rok wskazówka puszczać rok oj nieładć człowiek nieładć oj nieładć człowiek brzydki żyto bawić zmieniać bawitka księgi bawić mądrość zabawa uparty księga budować nauka dom księgi karty księgi karty raz huczeć brawo raz działo gubić errata mądry starczyć osądzić rok osądzić rok zabawa popularny choć nowy potrzebny ludziezie słowo słowo słowo słowo słowo słowo słowo bawić miłość słowo składać kwiat pot przyprószyć liść jesień odgrzebywać rok odgrzebywać rok,,,Andrzej Poniedzielski,635
252,Na Mazury,witać piękny sprawa pakować bety jechać rzuć kłopot stos wykręcać całować nos osobowy drugi klasa przejechać mazur mazur mazur popływać tą łajba tektura mazur wiatr silny wieja ryba grzyb knieja fał bujać ludzie opalać wschód słońce piękny komar dupa cąć ogień grać muzyka gorzeć gardło znikać leśniczy wiadomy wół pójść won uszczelnić dno lekki chodzić miecz węza smród sto przewietrzyć przeczyć ster spadać grota luzować ruszyć denerwować mazur mazur mazur popływać tą łajba tektura mazur wiatr silny wieja ryba grzyb knieja fał bujać ludzie opalać wschód słońce piękny komar dupa cąć ogień grać muzyka gorzeć gardło znikać leśniczy wiadomy wół pójść won skrzynka piwo otwieracz wziąć napić dama nieść rozdziawić dzióbać głupi wzrok stać słupić węgorzć ruciany wykonać skok mazur mazur mazur popływać tą łajba tektura mazur wiatr silny wieja ryba grzyb knieja fał bujać ludzie opalać wschód słońce piękny komar dupa cąć ogień grać muzyka gorzeć gardło znikać leśniczy wiadomy wół dzień dobry żeglarz,"Lucjusz"" Michał Kowalczyk",Lucjusz Michał Kowalczyk,Spinakery,219
253,Na Mazury,witać piękny sprawa pakować bety leć dal rzuć kłopot stos wykręcać całować nos osobowy drugi klasa przejechać mazur mazur mazur popływać tą łajba tektura mazur wiatr zimny wieja ryba grzyb knieja fał bujać ludzie opalać wschód słońce piękny komar dupa cąć ogień grać muzyka gorzeć gardło znikać leśniczy wiadomy wół oowie paszły won uszczelnić dno lekki chodzić miecz zez smród sto przewietrzyć precć ster spadać grota luzować ruszyć denerwować mazur mazur mazur popływać tą łajba tektura mazur wiatr zimny wieja ryba grzyb knieja fał bujać ludzie opalać wschód słońce piękny komar dupa cąć ogień grać muzyka gorzeć gardło znikać leśniczy wiadomy wół oooo paszły won skrzynka piwo otwieracz wziąć napić dama nieść rozdziawić dzióbać głupi wzrok stać słupić węgorzć ruciany wykonać skok mazur mazur mazur popływać tą łajba tektura mazur wiatr zimny wieja ryba grzyb knieja fał bujać ludzie opalać wschód słońce piękny komar dupa cąć ogień grać muzyka gorzeć gardło znikać leśniczy wiadomy wół oowie dzień dobry żeglarz,Lucjusz Michał Kowalczyk,Lucjusz Michał Kowalczyk,Spinakery,521
254,Dla Michasia,wierzyć dobry bóg zdarzyć tył kiedyś mały synek spaść niebo akurat iść głowa chmura niedospany skacowany palec dama plecak pełny marzyć grać nauczyć gitara baran przenieść świat smutny kalosz miejsce zagrzać umieć trocha grać malować żyto nieustanna wychylać ramy spaść niebo akurat iść głowa chmura niedospany skacowany palec dama plecak pełny marzyć grać nauczyć gitara baran przenieść świat smutny kalosz kiedyś opowiedzieć oto ludzie oto człowiek jaszczurka skóra kobieta sączyć jad kiedyś raz dama plecak pełny marzyć ponieść baran parszywy świat dama plecak pełny marzyć grać nauczyć gitara baran przenieść świat smutny kalosz,,,,370
255,Dla Michasia,wiedzieć dobry bóg zdarzyć tył kiedyś mały synek spaść niebo akurat iść głowa chmura niedospany skacowany palec dama plecak pełny marzyć grać nauczyć gitara baran przenieść świat smutny kalosz miejsce zagrzać umieć trocha grać malować żyto nieustanna wychylać ramy spaść niebo akurat iść głowa chmura niedospany skacowany palec kiedyś opowiedzieć oto ludzie oto człowiek jaszczurka skóra kobieta sączyć jad kiedyś naraz dama plecak pełny marzyć przenieść baran parszywy świat,Aleksandra Bacińska,Leonard Luther,Leonard Luther,1458
256,Ocean,ocean sinowłosy biały statki wysłać kamyk myślić otworzyć dłoń nieść dać miejsce głębić morze szczypta ląd szczypta skała zbudować zamek biały gniazdo założyć sto stolica żyć ludzie bić dzwony zliczyć batalion przyczajony granica marszałek szklanooki palić owca dziewczę kwiat pamiętać szumieć giełda głębić noc głębić morze zabłąkany chcieć człowiek słyszeć biały kolor kolor ciszyć zamek biały ściana zamek ogród czytać wschodni baśń zania słońce morze zgasnąć żeby morze powstać dzień ludzie wypełnić nienawiść chwila zniszczyć stworzyć wielki ogień wnętrze ziemia zniknąć ląd zniknąć mór wieć nikt pot biały świat powrót łono matka ułożyć,Mirosław Hrynkiewicz,Mirosław Hrynkiewicz,Wolna Grupa Bukowina,388
257,Ocean,ocean sinowłosy biały statki wysłać kamyk myślić otworzyć dłoń nieść dać miejsce głębić morze szczypta ląd szczypta skała zbudować zamek biały gniazdo założyć sto stolica żyć ludzie bić dzwony zliczyć batalion przyczajony granica marszałek szklanooki palić owca dziewczę kwiat pamiętać szumieć giełda głębić noc głębić morze zabłąkany chcieć człowiek słyszeć biały kolor kolor ciszyć zamek biały ściana zamek ogród czytać wschodni baśń zania słońce morze zgasnąć żeby morze powstać codzień ludzie wypełnić nienawiść chwila zniszczyć stworzyć wielki ogień wnętrze ziemia zniknąć ląd zniknąć mór wieć nikt pot biały świat powrót łono matka ułożyć,Mirosław Hrynkiewicz,Mirosław Hrynkiewicz,Wolna Grupa Bukowina,1441
258,Majka,myśl biec mej najdroższa rzekać wierny majka warta majka zmienić świat choć dzień mijać czas uciekać wierny wierny rzekać majka warta majka zmienić świat mą gwiazda mą wiosna senny marzyć myślić radosny majka warta majka zmienić świat oddać uśmiech spojrzenie majka warta majka zmienić świat,,,Stare Dobre Małżeństwo,263
259,Majka,myśl biec mej najdroższa rzekać wierny oo majka warta majka zmienić świat choć dzień mijać czas uciekać wierny wierny rzekać majka warta mą gwiazda mą wiosna senny marzyć myślić radosny majka warta oddać uśmiech spojrzenie majka warta miłość wierny skończyć majka zostawić majka warta,Krzysztof Myszkowski,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1114
260,Sen Katarzyny II,smyczyć trzymać filozof europ podeprzeć armia marmurowy piotr strop ps sokół koń kochać łów szaleć wokół zając jeleń pałac stawiać głowa ścinać przyjść chęć biograf portrecista pragnąć stać katarzyna korona car senior głowa zdjąć kobieta miara czas bawić umizgi blady lowelas miękki palec dotyk budzić obrzydzić woleć łowić zając jeleń wstyd pot ów rzec wyżyć niemra batog nagi biec śnieg dookoł kreml stać katarzyna korona car senior głowa zdjąć kochanka imperium brać dawać pełnić władca poddaniec wcielić zastąpić zając jeleń rozumieć głupi dwór rozdać rola pośród pochylić głowić dawać rozkosz ból stać katarzyna korona car senior głowa zdjąć kochanka kiedyś znaleźć wiedzieć wiedzieć kazać ściąć,Jacek Kaczmarski,Jacek Kaczmarski,Jacek Kaczmarski,287
261,Sen Katarzyny II,smyczyć trzymać filozof europ podeprzeć armia marmurowy piotr strop ps sokół koń kochać łów szaleć wokół zając jeleń pałac stawiać głowa ścinać przyjść chęć biograf portrecista pragnąć stać katarzyna korona car senior głowa zdjąć kobieta miara czas bawić umizgi blady lowelas miękki palec dotyk budzić obrzydzić woleć łowić zając jeleń wstyd pot ów rzec wyżyć niemra batog nagi biec śnieg dookoł kreml stać katarzyna korona car senior głowa zdjąć kochanka imperium brać dawać pełnić władca poddaniec wcielić zastąpić zając jeleń rozumieć głupi dwór rozdać rola pośród pochylić głowić dawać rozkosz ból stać katarzyna korona car senior głowa zdjąć kochanka kiedyś znaleźć wiedzieć wiedzieć kazać ściąć,Jacek Kaczmarski,Jacek Kaczmarski,Jacek Kaczmarski,688
262,Wspomnienia,rok brudny przepocić sala gimnastyczny kanadyjski szkoła dziewczę tańczyć para chłopiec trocha pijany podpierać drabinki gimnastyczny kieszeń pobrzękiwać butelka tani wadliwy wino owocowy cent franki lać śpiewać jesabela przypiąć żelazny krzyż pierś swej podejść najwysoki dziewczę blonda powiedzieć znać wielki błąd pokazać powiedzieć pokazać gadać pokazać nagi ciało kolekcja motylić majtki kratka skoncentrować czekać następny zwrotka niełatwy zadanie aktorski tekst wynikać musieć wcielić rola niewinny jasnowłosy kanadyjski nastolatka chodzić odtańczyć najciemny kit odepchnąć ręka wyraźnie czuja głos wielki głód dotknąć zechcieć móc pokazić pokazić żyć pokazić nagi ciało kolekcja motylić majtki kratka tańczyć blisko zespół zagrać star dusta konfetti balonik lecieć prosty szepnąć minuta zakochać uroczysty chwila musza wierzyć pokazać pokazać koniec pokazać nagi ciało kolekcja motylić majtki kratka,Leonard Cohen,,,336
263,Wspomnienia,franki lać śpiewać jesabela przypiąć żelazny krzyż pierś swej podejść najwysoki dziewczyna blonda powiedzieć znać wielki błąd pokazać powiedzieć pokazać gadać pokazać nagi ciało chodzić odtańczyć najciemny kit odepchnąć ręka wyraźnie słyszeć głos wielki głód dotknąć pragnąć móc pokazić pokazić żyć pokazić nagi ciało tańczyć blisko zespół zagrać star dusta konfetti serpentyna lecieć prosty szepnąć minuta zakochać uroczysty chwila musza wierzyć pokazać pokazać koniec pokazać nagi ciało,"Leonard Cohen, tłum. Maciej Zembaty",,Leonard Cohen,874
264,Plastelina,ulepić domek niewidzialny plastelina okienko komin niewidzialny plastelina okienko kwiatek bratek niewidzialny plastelina tato krawat kratka niewidzialny plastelina ulepić pieski mięciutki czarny pyszczek lala kasa tereska pistolet siostrzyczka namęczyć ogromni stłuc łokieć zbić szklanke mama tato chodzić niespodzianka patrzyć zdziwiony mina czysta widzieć niewidzialny plastelina,,,,44
265,Niewidzialna plastelina,ulepić domek niewidzialny plastelina okienko komin niewidzialny plastelina okienko kwiatek bratek niewidzialny plastelina tato krawat kratka niewidzialny plastelina ulepić pieski maleńki czarny pyszczek lalka kasia tereska pistolet siostrzyczka namęczyć ogromni stłuc łokieć zbić szklanka mama tato chodzić niespodzianka patrzyć zdziwiony mina czysta widzieć niewidzialny plastelina świat śmiać babka ciotka póła rodzina wokół niewidzialny plastelina,Danuta Wawiłow,Piotr Bachorski,Dnieje,917
266,Piosenka wiosenna,zagrać gitara świat ulica flet nitka babi rok wyśpiewać potrafić księżyc rozstaje września styczeń maja zagubiony dźwięk barwy płótno vlamincki słońce wędrować promię ścieżynka grać grać pieśń skrzydlaty wiosna taniec nieść łąka zatańczyć rok zatańczyć koniec blask oświetlać me ręka pisać nabrzmieć potrzeba rozerwać ciszyć okno wyciec pełny chmara wroni dziobi dziób koniec ogon ogonić pieśń niknąć wracać wiedzieć bymorze zrobić gdybymorze utracić grać grać pieśń skrzydlaty wiosna taniec nieść łąka zatańczyć rok zatańczyć koniec,Wojciech Bellon,Wojciech Jarociński,Wolna Grupa Bukowina,365
267,Piosenka wiosenna,zagrać gitara świat ulica flet nitka babi rok wyśpiewać potrafić księżyc rozstaje września styczeń maja zagubiony dźwięk barwy płótno flaminek słońce wędrować promię ścieżyna grać grać pieśń skrzydlaty wiosna taniec nieść łąka zatańczyć rok zatańczyć siebie koniec blask oświetlać ręka pisać nabrzmieć potrzeba rozerwać ciszyć okno wyciec pełny chmara wroni dziobi dziób koniec ogon ogonić pieśń niknąć wracać wiedzieć bymorze zrobić gdybymorze utracić grać,W. Belon,W. Jarociński,Wolna Grupa Bukowina,1438
268,Polanka,liść zieleń zagrać wiatr śpiewność ptak prawda powieć choć pojąć starzey świat choć chcieć zmieścić głowa zatańczyć polano ot poprostć zatańczyć polano choć raz prawdziwi zatańczyć spojrzeć drzewo uśmiechnięty trawa oświadczać kwiat choć pojąć piękny przepiękny oddawać dawać drzewo szeptać ciągło śpiewać pełny szum piękność choć troszeczka jesień bajać lasa pełny miłość zatańczyć polano ot poprostć zatańczyć polano choć raz prawdziwi zatańczyć,,,,230
269,Polanka (Zatańcz ze mną),liść zieleń zagrać wiatr śpiewność ptak prawda powieć choć pojąć czas choć chcieć zmieścić głowa zatańczyć polano ot prosty zatańczyć polano choć raz prawdziwi zatańczyć spojrzeć drzewo uśmiechnięty trawa oświadczać kwiat choć nienazwany piękny przepiękno oddawać brać drzewo szeptać ciągło śpiewać pełny szum piękność choć troszeczka jesień bajać lasa pełny miłość,Z. Stefański,Z. Stefański i J.H. Chrząstek,Bez Jacka,1138
270,Będziesz moją panią,zbierać kwiat uśmiechać liczyć gwiazda czekać grać skrzypka lipowy śpiewać jarzębinowy drzewo liść ptak tańczyć bajka opowiadać słońce pomarańcza dłoń składać grać noc sierpniowy wiatry stroić barwa słońce śpiewać śpiewać koniec imię wiosenny róża miłość jesienny burza,,,Marek Grechuta,271
271,Będziesz moją panią,zbierać kwiat uśmiechać liczyć gwiazda czekać dama grać skrzypka lipowy śpiewać jarzębinowy drzewo liść ptak tańczyć bajka opowiadać słońce pomarańcza dłoń składać dama grać noc sierpniowy wiatry stroić barwa słońce śpiewać śpiewać koniec imię wiosenny róża miłość jesienny burza dama,Marek Grechuta,Marek Grechuta,Marek Grechuta,1331
272,Zbieg okoliczności łagodzących,iść siebie drogi wciąż mroczny znaleźć pomóc spotkać wśród zielony równina wyniść piękny siebie kiki zadziwić serce gorący bić równy zacząć ziemia móc era móc era zbiec raz góry ośnieżyć ciepły dolina dobry pomóc spotkać oszalały gęstwina wyniść nagi siebie noc światły dzienny zegarek ślepy chodzić nagle zacząć godzina móc era móc era,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo,423
273,Zbieg okoliczności łagodzących,iść siebie drogi wciąż mroczny znaleźć pomóc spotkać wśród zielony równina wyniść piękny siebie kiki zadziwić serce gorący bić równy zacząć ziemia móc era móc era zbiec raz góry ośnieżyć ciepłądolina dobry pomóc spotkać oszalały gęstwina wyniść nagi siebie noc światły dzienny zegarek ślepy chodzić nagle zacząć godzina móc era móc era,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1073
274,Burza,chmura zmęczyć przysiąść grań ciężki brzucho pieścić górski grzbiet drzewo jęknąć smagnąć wichr trawa przerażony knuć głośny szepty umilknąć ptak gniazdo cichy siedzieć świat czekać napięcie lico pociemniały zbudzić bies driada tańczyć błysk srebrny nić zalśnić oniemieć pierwszy ciężki krople dopaść ziemia ślepy mocarz chcieć powalić strumień woda leja szumieć potok spływać góry szybki nowy srebrny nić przeciąć czerń niebo echo przerażony ryczeć dziki grzmot drzewo wiatr granie szamotać deszcz rycerz antyczny zmagać turkot kareta grzmot przewalić atakować kroplić ciężki fał dopaść stracić siła strumień wezbrany góry odpływać fala fala dół lawina siła starczy ni krople ni wiatry nagle blask słońce chmura przenikać tęcza deszczowy drobinka flaga cisza spokój świergot ptak słońce szalej wśród zrosić trawa drzewo włos wytrzepywać krople cieszyć deszczowy kurzawa cisza,Maciej Służała,Maciej Służała,Krążek,417
275,Burza,chmura zmęczyć przysiąść grań ciężki brzucho pieścić górski grzbiet drzewo jęknąć smagnąć wichr trawa przerażony knuć głośny szepty umilknąć ptak gniazdo cichy siedzieć świat czekać napięcie lico pociemniały zbudzić bies driada tańczyć błysk srebrny nić zalśnić oniemieć pierwszy ciężki krople dopaść ziemia ślepy młocarz chcieć powalić strumień woda leja szorować noc trok spływać góry szybki nowy srebrny nić przeciąć czerń niebo echo przerażony ryczeć dziki grzmot drzewo wiatr granie szamotać deszcz rycerz antyczny zmagać turkot kareta grzmot przewalić atakować kroplić wściekły fał dopaść stracić siła strumień wezbrany góry odpływać fala fala cąć lawina siła starczy krople wiatry nagle blask słońce chmura przenikać tęcza deszczowy drobinka flaga cisza spokój świergot ptak słońce szalej wśród zrosić trawa drzewo włos wytrzepywać krople cieszyć deszczowy kurzawa cisza,Maciej 'Krążek' Służała,Maciej 'Krążek' Służała,Krążek,651
276,Hej przyjaciele,chcieć dojść szkoda zdzierać noga wędrówka wspólny nadchodzić kresa pójść drogi zostawić odejść zostać rozstaj drogi przyjaciel przyjaciel zostać oddać przyjaciel przyjaciel choć chwila żyć wyniść spóźnić pociąg odjechać mglisty koniec zamajaczyć stać smutny peron tą walizka człowiek zgubić dom kluczyć przyjaciel przyjaciel zostać oddać przyjaciel przyjaciel choć chwila żyć wyniść chcieć dojść szkoda zdzierać noga wędrówka wspólny nadchodzić kresa pójść drogi zostawić zamazany drogowskaz odczytać przyjaciel przyjaciel zostać oddać przyjaciel przyjaciel choć chwila żyć wyniść,Paweł Kasperczyk,Paweł Kasperczyk,Babsztyl,376
277,Hej przyjaciele,chcieć dojść szkoda zdzierać noga wędrówka wspólny nadchodzić kresa pójść drogi zostawić odejść zostać rozstaj drogi przyjaciel zostać oddać przyjaciel choć chwila żyć wyniść spóźnić pociąg odjechać mglisty koniec zamajaczyć stać smutny peron tą walizka człowiek zgubić dom kluczyć przyjaciel zostać chcieć dojść szkoda zdzierać noga wędrówka wspólny nadchodzić kresa pójść drogi zostawić zamazany drogowskaz odczytać przyjaciel zostać,Paweł Kasperczyk,Paweł Kasperczyk,Babsztyl,1365
278,Piosenka dla przyjaciela,przeczekać zima żeby móc spotkać przyjaciel opowiedzieć dobry zapomnieć zły chwila przyjaciel wiosna wyschnąć drogi dogonić przeszły przeczekać ciszyć płochy słowo rozmowy skończyć chleb zbraknąć popatrzyć kwitnąć jabłoń przyjaciel gwiazda spaść przeczekać lato wciąż wierzyć karko jesień przyjaciel dziewczyna odeszły odesłać lista deszcz przyjaciel żeby żyć zbyt trudzić epilog dopisać garść złudzić przeczekać ciszyć płochy słowo rozmowy skończyć chleb zbraknąć popatrzyć kwitnąć jabłoń przyjaciel gwiazda spaść przyjaciel,Wojciech Bellon,Tomek Fojgt,Enigma,222
279,Piosenka dla przyjaciela,przeczekać zima żeby móc spotkać przyjaciel opowiedzieć dobry zapomnieć zły chwila przyjaciel wiosna wyschnąć drogi dogonić szybki przeszły przeczekać cisza płochy słowo rozmowy skończyć chleb zbraknąć popatrzyć kwitnąć jabłoń przyjaciel gwiazda spaść przeczekać lato wciąż wierzyć karko jesień przyjaciel dziewczyna odeszły odesłać lista deszcz przyjaciel żeby żyć zbyt trudzić epilog dopisać garść złudzić,Andrzej Pacuła,Tomasz Fojgt,Enigma,721
